;MIRI Telescope Simulator (MTS) Short-Wave Pass Filter
;Document Reference # : CDR 00779					
;Sample ID	6LG	6LP	2H2
;Assignment	Flight Item	Flight Item	Test Piece
;Batch		05482/05483	05482/05483	05482/05483
;Msrmnt Filenam	6LG_RT_1E	6LP_RT_1E	2H203535
;Temperature	297K	297K	35K
;Angle		0°	0°	0°
;Mode	T%	T%	T%
;Polarization	No	No	No
;Polarization Angle	n/a	n/a	n/a


;micron	T1%	T2%	T3%		
22.85	-0.013082501	0.01099625	0.103509001
22.90	-0.044660751	0.01101725	0.113363758
22.95	-0.050251499	0.006772	0.118277505
23.00	-0.0292335	-0.00173275	0.125656247
23.05	0.00560775	-0.01141425	0.147676751
23.10	0.037190251	-0.01825075	0.188425496
23.15	0.052401666	-0.020846332	0.224933669
23.20	0.052850336	-0.022161335	0.263582677
23.25	0.03997425	-0.024514752	0.273014754
23.30	0.015594002	-0.029765751	0.265843749
23.35	-0.00715	-0.03514	0.245719761
23.40	-0.015959499	-0.036797002	0.226514757
23.45	-0.011212	-0.035266999	0.214448333
23.50	0.011530333	-0.031148667	0.193974987
23.55	0.031746749	-0.028607501	0.166253254
23.60	0.050949752	-0.0247295	0.114525989
23.65	0.0520855	-0.015973499	0.048397001
23.70	0.040916	-0.003682	-0.007203333
23.75	0.012865999	0.024862999	-0.086785667
23.80	-0.006408	0.052271251	-0.132933244
23.85	-0.0185115	0.087553501	-0.140887007
23.90	-0.014036332	0.108925998	-0.086592339
23.95	0.012612667	0.122227006	0.106314994
24.00	0.037192497	0.121574499	0.314594746
24.05	0.063710749	0.113814496	0.627514482
24.10	0.076192342	0.104979664	0.882627308
24.15	0.081488997	0.091823667	1.25731671
24.20	0.0815745	0.082190998	1.55540729
24.25	0.080898337	0.073042996	1.85356486
24.30	0.078939669	0.062714666	2.2298286
24.35	0.075379998	0.056879249	2.50073051
24.40	0.067226753	0.051260747	2.87777066
24.45	0.058869332	0.048633337	3.18463731
24.50	0.047533333	0.047562003	3.63837051
24.55	0.043675333	0.04784967	3.8704555
24.60	0.042968001	0.049663004	4.3017807
24.65	0.050582998	0.0512475	4.55004025
24.70	0.062734	0.052159999	4.73993874
24.75	0.087848008	0.049841333	4.84600735
24.80	0.110194251	0.044520751	4.82705545
24.85	0.132216334	0.037688002	4.76228571
24.90	0.152476668	0.028412001	4.59090042
24.95	0.154558346	0.025274666	4.47293711
25.00	0.135832995	0.023024665	4.15244722
25.05	0.100974001	0.023489749	3.81829739
25.10	0.059554998	0.023468001	3.43912315
25.15	0.010894333	0.018329334	2.89254975
25.20	-0.002271333	0.013337001	2.63602662
25.25	-0.001922667	0.001133667	2.19024324
25.30	0.0166685	-0.00695475	1.91775405
25.35	0.039504003	-0.013555001	1.67230093
25.40	0.066506334	-0.019998668	1.39333045
25.45	0.075686	-0.023438999	1.27144098
25.50	0.085568339	-0.031347334	1.06111562
25.55	0.087372005	-0.035019998	0.969803393
25.60	0.089198001	-0.037748333	0.807020366
25.65	0.091326676	-0.035016999	0.734916985
25.70	0.101729997	-0.019369667	0.615780652
25.75	0.110385664	-0.006866333	0.572529018
25.80	0.132331669	0.023420999	0.52839762
25.85	0.143405661	0.038628999	0.530661643
25.90	0.159717336	0.063353002	0.579757988
25.95	0.163218662	0.071462333	0.618017316
26.00	0.159315333	0.078722663	0.684122741
26.05	0.152489007	0.078981996	0.695168316
26.10	0.131942004	0.076383002	0.656217992
26.15	0.119527996	0.07462167	0.611062646
26.20	0.094121337	0.071451999	0.498763323
26.25	0.083204337	0.069974661	0.444569319
26.30	0.071839005	0.067855001	0.376662999
26.35	0.074758671	0.066824004	0.345881671
26.40	0.084667333	0.067372672	0.348231673
26.45	0.125827998	0.073598005	0.422076672
26.50	0.155003995	0.079573996	0.488844305
26.55	0.219010338	0.095290333	0.641443014
26.60	0.247299671	0.102925003	0.702241361
26.65	0.278849006	0.111491993	0.753798008
26.70	0.284392983	0.111913659	0.728996992
26.75	0.276265651	0.108604334	0.687623024
26.80	0.235099003	0.095778666	0.575791359
26.85	0.207614675	0.088454664	0.522338331
26.90	0.166693002	0.078996003	0.458997488
26.95	0.139194667	0.073667996	0.426463991
27.00	0.129464999	0.07126233	0.414681673
27.05	0.128297001	0.068087503	0.408070505
27.10	0.141655996	0.062279001	0.414570659
27.15	0.152238667	0.056615334	0.425486326
27.20	0.168687001	0.040869664	0.469969988
27.25	0.171994016	0.031719998	0.506258309
27.30	0.171555012	0.017734001	0.579453468
27.35	0.166081667	0.004814333	0.690234661
27.40	0.161932662	-0.003009333	0.783612669
27.45	0.155614495	-0.013202	0.954897523
27.50	0.148527011	-0.019353667	1.17313969
27.55	0.142967656	-0.020626335	1.33168733
27.60	0.133841008	-0.017072	1.57826948
27.65	0.128584504	-0.009098	1.73838449
27.70	0.127960667	0.010882667	1.95345533
27.75	0.134282663	0.027168334	2.07970333
27.80	0.156854987	0.053763002	2.24150801
27.85	0.201061323	0.077527337	2.37138152
27.90	0.236824319	0.090258993	2.45484066
27.95	0.295253515	0.103747502	2.58856654
28.00	0.332517982	0.108181998	2.69816732
28.05	0.375704318	0.109471343	2.91334462
28.10	0.395661682	0.107886009	3.08583069
28.15	0.412382483	0.102239504	3.38177347
28.20	0.411829323	0.092133671	3.70797348
28.25	0.407047004	0.08450067	3.92035747
28.30	0.395991504	0.073582001	4.21246338
28.35	0.387604475	0.069099002	4.36729527
28.40	0.375403017	0.070571668	4.51870537
28.45	0.367315322	0.076559998	4.57613039
28.50	0.35492301	0.092714503	4.60176277
28.55	0.345969975	0.107473001	4.58152103
28.60	0.336221486	0.122500002	4.54932308
28.65	0.32038334	0.141268998	4.50233984
28.70	0.309802681	0.150328323	4.48140764
28.75	0.294945002	0.157969505	4.4726553
28.80	0.287029505	0.158648998	4.48657894
28.85	0.281370491	0.157269508	4.51309204
28.90	0.277716339	0.152293995	4.57326889
28.95	0.277278334	0.147694334	4.61995363
29.00	0.278447002	0.138708994	4.692729
29.05	0.279233992	0.130507499	4.73556089
29.10	0.278798997	0.120349005	4.76715279
29.15	0.274965644	0.101779006	4.7923255
29.20	0.271123976	0.088605322	4.80395365
29.25	0.264459997	0.069316998	4.82626295
29.30	0.260288	0.058885999	4.85846138
29.35	0.256747007	0.051910002	4.90968037
29.40	0.25315851	0.049073003	4.98147964
