ypos 	 xpos 	 value 
123 	 74 	 0.93916 
124 	 74 	 0.93929 
125 	 74 	 0.93832 
126 	 74 	 0.9363 
127 	 74 	 0.93337 
128 	 74 	 0.92995 
129 	 74 	 0.92654 
130 	 74 	 0.92359 
131 	 74 	 0.9216 
132 	 74 	 0.92105 
133 	 74 	 0.92239 
134 	 74 	 0.92605 
135 	 74 	 0.93182 
136 	 74 	 0.9392 
137 	 74 	 0.94767 
138 	 74 	 0.95675 
139 	 74 	 0.96591 
140 	 74 	 0.97466 
141 	 74 	 0.98251 
142 	 74 	 0.98917 
143 	 74 	 0.99456 
144 	 74 	 0.99863 
145 	 74 	 1.0013 
146 	 74 	 1.00252 
147 	 74 	 1.00222 
148 	 74 	 1.00034 
149 	 74 	 0.99694 
150 	 74 	 0.9925 
151 	 74 	 0.98757 
152 	 75 	 0.9827 
153 	 75 	 0.97844 
154 	 75 	 0.97535 
155 	 75 	 0.97397 
156 	 75 	 0.9748 
157 	 75 	 0.97763 
158 	 75 	 0.98182 
159 	 75 	 0.98669 
160 	 75 	 0.99161 
161 	 75 	 0.9959 
162 	 75 	 0.99891 
163 	 75 	 1.0 
164 	 75 	 0.99889 
165 	 75 	 0.99602 
166 	 75 	 0.99195 
167 	 75 	 0.98719 
168 	 75 	 0.98227 
169 	 75 	 0.97774 
170 	 75 	 0.97411 
171 	 75 	 0.97187 
172 	 75 	 0.97095 
173 	 75 	 0.971 
174 	 75 	 0.97166 
175 	 75 	 0.97257 
176 	 75 	 0.97339 
177 	 75 	 0.97375 
178 	 75 	 0.97329 
179 	 75 	 0.97182 
180 	 75 	 0.96936 
181 	 75 	 0.96602 
182 	 75 	 0.96188 
183 	 75 	 0.95702 
184 	 75 	 0.95153 
185 	 75 	 0.94549 
186 	 75 	 0.939 
187 	 75 	 0.9323 
188 	 75 	 0.92576 
189 	 75 	 0.91972 
190 	 75 	 0.91455 
191 	 75 	 0.91061 
192 	 75 	 0.90825 
193 	 75 	 0.90782 
194 	 75 	 0.90947 
195 	 75 	 0.91267 
196 	 75 	 0.91672 
197 	 75 	 0.92094 
198 	 75 	 0.92466 
199 	 75 	 0.9272 
200 	 75 	 0.92789 
201 	 75 	 0.92606 
202 	 75 	 0.92167 
203 	 75 	 0.91528 
204 	 75 	 0.90752 
205 	 75 	 0.899 
206 	 75 	 0.89033 
207 	 75 	 0.88211 
208 	 75 	 0.87495 
209 	 75 	 0.86939 
210 	 75 	 0.86552 
211 	 75 	 0.86319 
212 	 75 	 0.86225 
213 	 75 	 0.86257 
214 	 75 	 0.864 
215 	 75 	 0.8664 
216 	 75 	 0.86963 
217 	 75 	 0.87353 
218 	 75 	 0.87788 
219 	 75 	 0.88247 
220 	 75 	 0.88707 
221 	 75 	 0.89147 
222 	 75 	 0.89544 
223 	 75 	 0.89876 
224 	 75 	 0.90123 
225 	 75 	 0.90283 
226 	 75 	 0.90376 
227 	 75 	 0.90423 
228 	 75 	 0.90446 
229 	 75 	 0.90464 
230 	 75 	 0.90498 
231 	 75 	 0.9057 
232 	 75 	 0.90699 
233 	 75 	 0.90888 
234 	 75 	 0.9113 
235 	 75 	 0.91417 
236 	 75 	 0.91744 
237 	 75 	 0.92102 
238 	 75 	 0.92484 
239 	 75 	 0.92884 
240 	 75 	 0.93294 
241 	 75 	 0.93709 
242 	 75 	 0.94125 
243 	 75 	 0.94537 
244 	 75 	 0.9494 
245 	 75 	 0.9533 
246 	 75 	 0.95702 
247 	 75 	 0.96052 
248 	 75 	 0.96376 
249 	 75 	 0.96677 
250 	 75 	 0.96956 
251 	 75 	 0.97217 
252 	 75 	 0.97462 
253 	 75 	 0.97695 
254 	 75 	 0.97916 
255 	 75 	 0.98131 
256 	 75 	 0.98339 
257 	 75 	 0.98541 
258 	 75 	 0.98735 
259 	 75 	 0.98921 
